Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
1966,12,28,8,18,7.4,1984,,"CHILE:  TALTAL, CATALINA",-25.5,-70.7,47,7.8,8,3,1,,,6,1,0.4,1,,3,,,3,1,,,6,1,0.4,1,,3,,,Chile,South America,AU
2015,10,17,11,33,0,,,ARGENTINA:  GALPON,-25.442,-64.632,33,5.8,7,2,1,,,30,1,,1,15,1,,,2,1,,,30,1,,1,15,1,,,Argentina,South America,AU
2010,2,27,15,45,37,,,ARGENTINA:  SALTA,-24.872,-65.602,10,6.3,,2,1,,,2,1,,,,,,,2,1,,,2,1,,,,,,,Argentina,South America,AU
1936,7,13,11,12,15,1691,,CHILE:  TALTAL,-24.5,-70,60,7.3,,1,1,,,40,1,,2,,3,,,1,1,,,40,1,,2,,3,,,Chile,South America,AU
1995,7,30,5,11,23.6,2249,,"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES",-23.34,-70.294,46,8,7,3,1,,,58,2,1.66,2,115,3,,,3,1,,,,,1.791,2,115,3,,,Chile,South America,AU
1977,6,22,12,8,33.4,2091,,TONGA TRENCH,-22.878,-175.9,65,7.2,4,1,1,,,5,1,1.2,2,,,,,1,1,,,5,1,1.2,2,,,,,Tonga,Oceania,AU
2007,11,14,15,40,50.5,3293,,"CHILE:  TOCOPILLA, MARIA ELENA",-22.247,-69.89,40,7.7,8,2,1,,,65,2,,3,,4,,,2,1,,,65,2,,3,,4,,,Chile,South America,AU
2006,2,22,22,19,7.8,,,MOZAMBIQUE,-21.324,33.583,11,7,5,4,1,,,36,1,,2,294,3,,,4,1,,,36,1,,2,294,3,,,Mozambique,Africa,LW
1999,11,26,13,21,15.5,2339,,VANUATU ISLANDS:  PENTECOST,-16.423,168.214,33,7.5,,5,1,,,100,2,,2,,,,,10,1,,,100,2,,3,,3,,,Vanuatu Island,Oceania,AU
2007,12,9,2,3,29.4,,,BRAZIL:  MINAS GERAIS,-15.048,-44.231,10,4.6,,1,1,,,6,1,,2,76,2,,,1,1,,,6,1,,2,76,2,,,Brazil,South America,AU
1942,8,24,22,50,27,1751,,"PERU:  ICA, NAZCA",-15,-76,60,8.2,9,30,1,,,25,1,,3,,3,,,30,1,,,25,1,,3,,3,,,Peru,South America,AU
2011,10,28,18,54,34,,,PERU:  SAN VICENTE DE CANETE,-14.438,-75.966,24,6.9,,1,1,,,103,3,,2,134,3,,,1,1,,,103,2,,2,134,3,,,Peru,South America,AU
1993,3,12,14,1,35.4,5602,,FUTUNA ISLAND,-14.385,-178.252,10,6.4,,5,1,,,201,,,1,,,,,5,1,,,20,1,,1,,2,,2,Futuna Island,Oceania,AU
1989,3,10,21,49,45.8,,,"MALAWI:  SALIMA, DEDZA, MOHINJI",-13.702,34.42,30,6.1,,9,1,,,100,2,28,4,,,,,9,1,,,100,2,28,4,,,,,Malawi,Africa,LW
2007,8,15,23,40,57.8,3168,,"PERU:  ICA, PISCO, LIMA",-13.386,-76.603,39,8,8,514,3,,,1090,4,,4,52154,4,23632,4,514,3,,,1090,4,,4,52154,4,23632,4,Peru,South America,AU
2021,6,23,2,54,18,,,PERU: CANETE: MALA,-12.687,-76.721,50,5.8,7,1,1,,,20,1,,2,6,1,,1,1,1,,,20,1,,2,6,1,,1,Peru,South America,AU
2022,5,12,21,55,48,,,"PERU: LIMA, CALLAO, CHILCA",-12.36,-76.89,55,5.4,7,2,1,,,11,1,,1,4,1,4,1,2,1,,,11,1,,1,4,1,4,1,Peru,South America,AU
1974,10,3,14,21,29.1,2068,,"PERU:  LIMA, CALLAO",-12.27,-77.79,13,8.1,9,78,2,,,2414,4,10,3,,3,,,78,2,,,2414,4,10,3,,3,,,Peru,South America,AU
1966,10,17,21,41,56,1982,,"PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",-10.748,-78.638,38,8.1,9,110,3,,,3000,4,35,4,,,,,110,3,,,3000,4,35,4,,,,,Peru,South America,AU
2017,8,13,16,51,5,,,PERU:  JUNIN,-10.721,-74.566,32,5.8,,1,1,,,2,1,,1,,,,,1,1,,,2,1,,1,,,,,Peru,South America,AU
1940,5,24,16,33,57,1739,,PERU,-10.5,-77,60,8.2,10,179,3,,,3500,4,,3,,3,,,179,3,,,3500,4,,3,,3,,,Peru,South America,AU
2009,12,19,23,19,15.5,,,MALAWI:  KARONGA,-10.108,33.818,6,6,,3,1,,,250,3,,3,1111,4,1111,4,3,1,,,250,3,,3,1111,4,3565,4,Malawi,Africa,AU
1977,4,21,4,24,9.6,2090,,SOLOMON ISLANDS,-9.965,160.731,33,8.1,7,18,1,,,1,1,,3,,,,,18,1,,,1,1,,3,,,,,Solomon Island,Oceania,AU
2009,12,8,3,8,57.2,,,MALAWI:  KARONGA,-9.948,33.878,8,5.9,,1,1,,,15,1,,3,,,,,1,1,,,15,1,,3,,,3000,4,Malawi,Africa,AU
1943,7,23,14,53,9,,,INDONESIA:   JAVA:  JOGYAKARTA,-9.5,110,90,8.1,8,213,3,,,2096,4,,3,,,2800,4,213,3,,,2096,4,,3,,,2800,4,Indonesia,Asia,AU
1958,10,20,1,12,37,,,INDONESIA:  JAVA:  MALANG,-9.5,112.5,100,6.7,8,8,1,,,1856,4,,2,95,2,206,3,8,1,,,1856,4,,2,95,2,206,3,Indonesia,Asia,AU
1967,2,19,22,14,35.3,,,"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK",-9.2,113.1,80,6.8,9,54,2,,,300,3,,3,2000,4,5000,4,54,2,,,300,3,,3,2000,4,5000,4,Indonesia,Asia,AU
1970,5,31,20,23,27.3,2021,,"PERU: NORTHERN, PISCO, CHICLAYO",-9.2,-78.8,43,7.9,10,66794,4,,,50000,4,530,4,,3,,3,66794,4,,,50000,4,530,4,,3,,,Peru,South America,AU
2021,4,10,7,0,17,,,"INDONESIA: JAVA: LUMAJANG, MALANG",-8.562,112.519,82,6,5,10,1,,,39,1,,3,85,2,3024,4,10,1,,,39,1,,3,85,2,3024,4,Indonesia,Asia,AU
1992,12,12,5,29,26.3,2214,,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896,28,7.8,11,1000,4,,,500,3,100,4,31785,4,,,2500,4,,,2103,4,100,4,31785,4,,,Indonesia,Asia,AU
2019,3,17,7,7,25,,,INDONESIA:  LOMBOK ISLAND,-8.418,116.521,10,5.6,,6,1,,,182,3,,2,843,3,3613,4,6,1,,,182,3,,2,843,3,3613,4,Indonesia,Asia,AU
