Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
1937,8,20,11,59,16,1699,,PHILIPPINES:  LUZON,14.5,121.5,60,7.5,8,1,1,,,200,3,,3,,3,,3,1,1,,,200,3,,3,,3,,,Philippines,Asia,EU
2019,4,22,9,11,11,,,PHILIPPINES:  PAMPANGA PROVINCE,14.924,120.497,20,6.1,,18,1,3,1,183,3,50,4,1046,4,3329,4,18,1,3,1,183,3,50,4,1046,4,3329,4,Philippines,Asia,EU
1993,8,1,0,20,40.5,,,SUDAN:  KHARTOUM,15.385,31.69,13,5.5,,2,1,,,9,1,,1,,,,,2,1,,,9,1,,1,,,,,Sudan,Africa,EU
1990,7,16,7,26,34.6,,,"PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN",15.679,121.172,25,7.8,9,2412,4,,,3000,4,369.6,4,,,,,2412,4,,,3000,4,369.6,4,,,,,Philippines,Asia,EU
1999,12,11,18,3,36.4,,,"PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ",15.766,119.74,33,7.3,7,5,1,,,40,1,1.794,2,,,,,5,1,,,40,1,1.794,2,,,,,Philippines,Asia,EU
1970,4,7,5,34,5.6,2020,,PHILIPPINES:  LUZON,15.78,121.71,40,7.3,6,15,1,,,200,3,,2,,,,,15,1,,,200,3,,2,,,,,Philippines,Asia,EU
1880,7,18,4,40,,1117,,"PHILIPPINES:  S COAST LUZON:  PASIG RIVER,PAMPANGA",16,121.85,100,7.5,9,20,1,,,50,1,,3,,3,,,20,1,,,50,1,,3,,3,,,Philippines,Asia,EU
1985,4,24,1,7,14.5,,,"PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO",16.498,120.815,33,6.1,7,6,1,,,11,1,,2,,,,,6,1,,,11,1,,2,,,,,Philippines,Asia,EU
1968,8,1,20,19,21.9,2003,,PHILIPPINES:  LUZON:  MANILA,16.5,122.2,36,7.3,,270,3,,,261,3,8,3,,1,,3,270,3,,,261,3,8,3,,1,,3,Philippines,Asia,EU
1977,3,18,21,43,52.4,,,PHILIPPINES:  LUZON:  MANILA,16.77,122.33,37,7.3,7,1,1,,,9,1,0.1,1,14,1,22,1,1,1,,,9,1,0.1,1,14,1,22,1,Philippines,Asia,EU
2017,3,13,14,20,7,,,MYANMAR (BURMA):  THARRAWADDY,17.399,96,10,5.1,,2,1,,,36,1,,1,,1,,1,2,1,,,36,1,,1,,1,,1,Myanmar,Asia,EU
2008,9,16,21,47,14.5,,,INDIA:  MAHARASHTRA,17.438,73.915,10,5,,1,1,,,20,1,,3,,,,,1,1,,,20,1,,3,,,1500,4,India,Asia,EU
2022,7,27,0,43,24,5855,,PHILIPPINES: LUZON: ABRA,17.56,120.801,10,7,9,11,1,,,609,3,48.48,4,856,3,35924,4,11,1,,,609,3,48.48,4,856,3,35924,4,Philippines,Asia,EU
1993,9,29,22,25,48.6,,,"INDIA:  LATUR-OSMANABAD, KILLARI",18.066,76.451,7,6.2,8,11000,4,,,30000,4,300,4,,4,,4,11000,4,,,30000,4,300,4,,4,,4,India,Asia,EU
1983,8,17,12,17,56,2148,,PHILIPPINES:  LUZON,18.231,120.86,29,6.5,8,16,1,,,47,1,2.227,2,,3,,3,16,1,,,471,3,2.227,2,,3,,,Philippines,Asia,EU
2014,5,5,11,8,42,,,THAILAND:  CHIANG RAI,19.656,99.67,6,6.1,5,1,1,,,32,1,62,4,20,1,,3,1,1,,,32,1,62,4,20,1,,3,Thailand,Asia,EU
2011,3,24,13,55,12,,,MYANMAR:  TACHILEK,20.687,99.822,8,6.8,,104,3,,,123,3,3.6,2,,,10104,4,104,3,,,123,3,3.6,2,,,10104,4,Myanmar,Asia,EU
2019,7,26,23,37,58,,,PHILIPPINES:  BATANES:  ITBAYAT,20.807,121.986,10,6,,9,1,,,64,2,0.925,1,,,266,3,9,1,,,64,2,0.925,1,,,266,3,Philippines,Asia,EU
2016,8,24,10,34,58,,,MYANMAR (BURMA): CHAUK,20.923,94.569,82,6.8,5,4,1,,,20,1,10,3,,,230,3,4,1,,,20,1,10,3,,,230,2,Myanmar,Asia,EU
2007,11,6,9,38,5.7,,,INDIA:  GUJARAT,21.181,70.724,10,5.1,,1,1,,,5,1,,1,,2,,2,1,1,,,5,1,,1,,2,,,India,Asia,EU
1975,7,8,12,4,42.4,,,MYANMAR (BURMA):  PAGAN,21.49,94.7,157,6.5,,1,1,,,1,1,0.5,1,,,,,1,1,,,1,1,0.5,1,,,,,Myanmar,Asia,EU
1999,7,22,10,42,11.7,,,"BANGLADESH:  MAHESHKHALI ISLAND, COX'S BAZAAR",21.544,91.895,10,4.2,,6,1,,,200,3,,3,700,3,,,6,1,,,200,3,,3,700,3,,,Bangladesh,Asia,EU
1970,3,23,1,52,59.3,,,INDIA:  BROACH,21.7,73,3,5.4,,26,1,,,200,3,,2,,,,,26,1,,,200,2,,2,,,,,India,Asia,EU
2006,12,26,12,26,21.1,3622,,TAIWAN:  PINGTUNG,21.799,120.547,10,7,,2,1,,,40,1,,1,,2,,,2,1,,,40,1,,1,,2,,,Taiwan,Asia,EU
1995,7,11,21,46,39.7,,,"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND",21.966,99.196,13,6.8,,11,1,,,136,3,36.1,4,100000,4,100000,4,11,1,,,136,3,36.1,4,100000,4,,,China,Asia,EU
1959,8,15,8,57,3,,,TAIWAN,22.18,121.13,60,7,,16,1,,,63,2,,3,,3,,,16,1,,,63,2,,3,,3,,,Taiwan,Asia,EU
1997,11,21,11,23,6.3,,,"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH",22.212,92.702,54,6.1,,23,1,,,200,3,,1,1,1,,1,23,1,,,200,3,,1,1,1,,1,India,Asia,EU
1994,9,16,6,20,18.7,5804,,TAIWAN REGION,22.528,118.711,13,6.7,,1,1,,,400,3,,2,,,,2,1,1,,,400,3,,2,,,,2,Taiwan,Asia,EU
1988,11,6,13,3,19.3,,,CHINA:  YUNNAN PROVINCE,22.789,99.611,18,7.3,10,738,3,,,3900,4,269,4,412000,4,,,738,3,,,3900,4,269,4,412000,4,,,China,Asia,EU
2003,7,26,23,18,17.9,,,BANGLADESH:  RANGAMATI,22.854,92.306,10,5.7,,2,1,,,25,1,,2,500,3,,,2,1,,,25,1,,2,500,3,,,Bangladesh,Asia,EU
2019,11,25,1,18,21,,,CHINA:  GUANGXI PROVINCE,22.96,106.711,10,5,,1,1,,,4,1,,1,,,,1,1,1,,,4,1,,1,,,,1,China,Asia,EU
2016,2,5,19,57,6,,,TAIWAN:  TAINAN,22.97,120.46,10,6.4,7,117,3,,,525,3,700,4,,1,,1,117,3,,,525,3,700,4,,1,,1,Taiwan,Asia,EU
2012,11,11,1,12,38.8,,,MYANMAR (BURMA):  SHWEBO,23.005,95.885,14,6.8,,26,1,,,230,3,,2,251,3,,,26,1,,,230,3,,2,251,3,,,Myanmar,Asia,EU
2007,6,2,21,34,57.7,,,CHINA:  YUNNAN PROVINCE:  NING'ER,23.028,101.052,5,6.1,,3,1,,,329,3,310,4,,,,,3,1,,,329,3,310,4,,,,,China,Asia,EU
1997,5,21,22,51,28.7,,,INDIA:  SOUTHERN:  JABALPUR,23.083,80.041,36,5.8,8,56,2,,,1000,4,143,4,8546,4,8546,4,56,2,,,1000,4,143,4,8546,4,52690,4,India,Asia,EU
2016,4,13,13,55,8,,,INDIA: ASSAM; BANGLADESH,23.094,94.865,136,6.9,5,2,1,,,170,3,,2,,,4,1,2,1,,,170,3,,2,,,4,1,India,Asia,EU
2022,9,18,6,44,14,,,TAIWAN:  HUALIEN,23.159,121.316,10,6.9,9,1,1,,,140,3,,2,,,,2,1,1,,,140,3,,2,,,,2,Taiwan,Asia,EU
1964,1,18,12,4,41,,,TAIWAN:  TAINAN,23.2,120.6,33,7,,107,3,,,479,3,,3,3000,4,,,107,3,,,479,3,,3,3000,4,,,Taiwan,Asia,EU
1978,12,23,11,23,12,,,TAIWAN:  PINTUNG,23.247,122.075,33,7,,2,1,,,3,1,,,,,,,2,1,,,3,1,,,,,,,Taiwan,Asia,EU
2014,12,6,10,20,52,,,CHINA:  YUNNAN PROVINCE:  YONGPING,23.358,100.533,10,5.6,,1,1,,,15,1,,2,434,3,17000,4,1,1,,,15,1,,2,434,3,17000,4,China,Asia,EU
2014,10,7,13,50,12,,,CHINA:   YUNNAN PROVINCE:  YONGPING,23.383,100.47,9,6.1,,1,1,,,323,3,,1,,1,,,1,1,,,323,3,,1,,1,,,China,Asia,EU
2001,1,26,3,16,42.8,,,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.388,70.326,17,7.6,10,20005,4,,,166836,4,2623,4,339000,4,339000,4,20005,4,,,166836,4,2623,4,339000,4,,,India,Asia,EU
1998,7,17,4,51,14.7,,,"TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",23.407,120.736,13,5.7,5,5,1,,,27,1,,1,,,,,5,1,,,27,1,,1,,,,,Taiwan,Asia,EU
2008,2,6,6,9,40.4,,,INDIA:  WEST BENGAL,23.433,87.111,10,4.3,,1,1,,,50,1,,2,,,,,1,1,,,50,1,,2,,,,3,India,Asia,EU
1999,10,22,2,18,58.5,,,TAIWAN:  CHIA-I,23.445,120.506,33,5.9,6,1,1,,,254,3,0.786,1,15,1,,,1,1,,,254,3,0.786,1,15,1,,,Taiwan,Asia,EU
1989,5,7,0,38,18.5,,,"CHINA:  YUNNAN PROVINCE:  GENGMA, LANCANG, MENGLIAN",23.553,99.526,33,5.6,,1,1,,,91,2,54,4,5300,4,,,1,1,,,91,2,54,4,5300,4,,,China,Asia,EU
1972,4,24,9,57,21.7,,,TAIWAN:  HUALIEN,23.6,121.6,33,6.9,5,4,1,,,11,1,,2,,,,,4,1,,,11,1,,2,,,,,Taiwan,Asia,EU
2005,10,27,11,18,57.3,,,CHINA:  GUANGXI PROVINCE,23.604,107.798,10,4.2,,1,1,,,1,1,,1,,1,,,1,1,,,1,1,,1,,1,,,China,Asia,EU
1962,3,18,20,18,53,,,CHINA:  GUANGDONG PROVINCE,23.72,114.67,25,6.1,8,1,1,,,2,1,,3,1200,4,,,1,1,,,2,1,,3,1200,4,,,China,Asia,EU
2013,6,2,5,43,3.4,,,TAIWAN:  JENAI,23.789,121.141,17,6.3,,4,1,,,21,1,,1,,,,,4,1,,,21,1,,1,,,,,Taiwan,Asia,EU
1951,10,22,5,43,1,3310,,TAIWAN,23.8,121.7,21,7.3,,68,2,,,586,3,,3,2382,4,,,68,2,,,586,3,,3,2382,4,,,Taiwan,Asia,EU
2013,3,27,2,3,19.8,,,"TAIWAN:  NANTOU COUNTY, TAIPEI",23.828,121.215,19,6,,1,1,,,86,2,1.128,2,,,,3,1,1,,,86,2,1.128,2,,,,3,Taiwan,Asia,EU
1999,9,20,17,47,18.4,,,"TAIWAN:  NANTOU, TAICHUNG, TAIZHONG",23.834,120.813,25,7.6,10,2297,4,,,8700,4,14000,4,8200,,82000,4,2297,4,,,8700,4,14000,4,,,82000,4,Taiwan,Asia,EU
2000,6,10,18,23,29.3,,,TAIWAN:  NAN-TOU,23.843,121.225,33,6.4,,2,1,,,36,1,,1,,,,,2,1,,,36,1,,1,,,,,Taiwan,Asia,EU
1986,11,14,21,20,10.5,3507,,"TAIWAN:  TAIPEI, HUALIEN",23.901,121.574,34,7.8,8,15,1,,,44,1,,1,,,,,15,1,,,50,1,,1,,,,,Taiwan,Asia,EU
1988,7,20,23,15,36.6,,,"TAIWAN:  HUALIEN, SU-HUA",23.902,121.598,51,5.7,,1,1,,,1,1,,1,,,,,1,1,,,1,1,,1,,,,,Taiwan,Asia,EU
1990,12,13,3,1,48,,,"TAIWAN:  HUALIEN,  TAIPEI",23.916,121.636,12,6.2,4,2,1,,,3,1,,1,,,,,2,1,,,3,1,,1,,,,,Taiwan,Asia,EU
2019,4,18,5,1,6,,,TAIWAN:  HUALIEN,23.989,121.693,20,6.1,,1,1,,,16,1,,1,,,,,1,1,,,16,1,,1,,,,,Taiwan,Asia,EU
2004,5,1,7,56,13.6,,,TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK,24.081,121.611,45,5.2,,2,1,,,1,1,,1,,,,,2,1,,,1,1,,1,,,,,Taiwan,Asia,EU
1966,3,12,16,31,21.8,1980,,TAIWAN,24.1,122.6,48,8,,7,1,,,10,1,,2,,2,,,7,1,,,10,1,,2,,2,,,Taiwan,Asia,EU
1986,5,20,5,25,46.9,,,TAIWAN:  HUALIEN,24.125,121.619,19,6.4,,1,1,,,5,1,,1,,,,,1,1,,,5,1,,1,,,,,Taiwan,Asia,EU
2018,2,6,15,50,32,,,TAIWAN:  HUALIEN,24.134,121.659,17,6.4,,17,1,,,291,3,,2,4,1,,1,17,1,,,291,3,,2,4,1,,1,Taiwan,Asia,EU
1913,12,21,15,37,38,,,CHINA:  YUNNAN PROVINCE,24.15,102.45,10,7,9,942,3,,,112,3,,3,,4,,,942,3,,,112,3,,3,,4,,,China,Asia,EU
